mic_id,theta_rad,overall_spl_db,harmonic_order,exact_freq_hz,spl_db,relative_spl_db
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,13,1180.0,32.89328115960026,-1.1527705473283731
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,14,1244.0,28.71065065689969,-5.335401050028938
DJIMavic2Enterprise_Hover_2,0.3217505543966422,60.31887666680422,15,1347.0,26.248510005167173,-7.797541701761457
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,1,96.0,32.310514820460696,0.0
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,2,193.0,38.41934424967065,6.108829429209955
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,3,287.0,19.457724431628712,-12.852790388831984
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,4,386.0,31.833753122175263,-0.4767616982854328
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,5,471.0,23.29166833834508,-9.018846482115617
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,6,578.0,34.52597043971613,2.2154556192554367
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,7,606.0,29.55442106582383,-2.756093754636865
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,8,701.0,23.09514208126673,-9.215372739193967
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,9,876.0,18.510949967031898,-13.799564853428798
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,10,959.0,31.66000699370128,-0.6505078267594158
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,11,1010.0,31.546514841076146,-0.7639999793845504
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,12,1170.0,27.03017001710425,-5.280344803356446
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,13,1180.0,30.131963776241104,-2.178551044219592
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,14,1347.0,29.342983508643513,-2.967531311817183
DJIMavic2Enterprise_Hover_3,0.5880026035475675,57.080180337834804,15,1347.0,29.342983508643513,-2.967531311817183
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,1,97.0,36.39852376912094,0.0
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,2,193.0,43.79867779770361,7.400154028582669
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,3,292.0,23.841714126902374,-12.556809642218568
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,4,385.0,33.434271452645994,-2.9642523164749477
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,5,471.0,25.08447681134479,-11.314046957776153
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,6,578.0,36.60907986189961,0.21055609277866694
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,7,606.0,33.96756508350042,-2.4309586856205243
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,8,766.0,27.620231760479825,-8.778292008641117
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,9,781.0,24.148125520559237,-12.250398248561705
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,10,959.0,30.413160599520378,-5.985363169600564
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,11,959.0,30.413160599520378,-5.985363169600564
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,12,1170.0,24.141970187193817,-12.256553581927125
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,13,1180.0,28.00374128362755,-8.39478248549339
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,14,1351.0,25.40999350191564,-10.988530267205302
DJIMavic2Enterprise_Hover_4,0.7853981633974483,60.554802304464594,15,1351.0,25.40999350191564,-10.988530267205302
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,1,96.0,35.253460759586645,0.0
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,2,193.0,43.58396687788324,8.330506118296597
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,3,287.0,23.688726509317277,-11.564734250269368
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,4,350.0,32.22349079028539,-3.0299699693012556
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,5,478.0,27.27970114536719,-7.973759614219453
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,6,583.0,38.468608617090155,3.21514785750351
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,7,606.0,37.2364478067132,1.9829870471265565
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,8,771.0,33.26000014974398,-1.9934606098426642
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,9,780.0,31.40855923499406,-3.8449015245925864
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,10,943.0,29.378105638368638,-5.875355121218007
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,11,1010.0,31.344722687821577,-3.908738071765068
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,12,1170.0,28.35085289256561,-6.902607867021036
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,13,1175.0,30.587313408056428,-4.666147351530217
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,14,1351.0,30.8692219792394,-4.384238780347246
DJIMavic2Enterprise_Hover_5,1.1072002987503557,61.97721012431222,15,1351.0,30.8692219792394,-4.384238780347246
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,1,87.0,41.22114947421541,0.0
DJIMavic2Enterprise_Hover_6,1.5707963267948966,72.27869966043262,2,193.0,43.390126922891966,2.168977448676557
